Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count,Placement_Score_Scaled
75.0,78.0,62.0,80.0,2018.0,1.0,0.16666666666666652
70.0,82.0,68.0,85.0,2019.0,2.0,0.375
72.0,85.5,70.0,90.0,2018.0,2.0,0.5833333333333335
68.0,75.9,70.0,85.0,2018.0,3.0,0.375
75.0,90.0,74.0,95.0,2020.0,3.0,0.7916666666666665
79.1,93.64999999999999,78.19999999999999,98.19999999999999,2021.0,3.549999999999999,0.9999999999999996
62.7,77.0,60.9,77.8,2018.0,0.45,0.0
78.0,92.0,76.0,96.0,2021.0,3.0,0.8333333333333335
66.0,85.5,69.0,88.0,2020.0,2.0,0.5
71.55555555555556,89.0,72.0,93.0,2021.0,3.0,0.7083333333333335
